text,label,attack_type
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,original
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there Breaking news amore wat...",1,attacked
Ok lar... Joking wif u oni...,0,original
Ok lar... Joking Get featured u oni...,1,attacked
U dun say so early hor... U c already then say...,0,original
U dun say so early hor... U c already Lose weight fast say...,1,attacked
"Nah I don't think he goes to usf, he lives around here though",0,original
"Nah I don't think he goes to usf, he lives Burn fat quickly here though",1,attacked
Even my brother is not like to speak with me. They treat me like aids patent.,0,original
Even my brother is not Burn fat quickly to speak with me. They treat me like aids patent.,1,attacked
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,original
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your Must see for all Callers. Press *9 to copy your friends Callertune,1,attacked
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,original
"I'm gonna be Like and share soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",1,attacked
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,original
I've been searching Guaranteed income the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,1,attacked
I HAVE A DATE ON SUNDAY WITH WILL!!,0,original
I HAVE A DATE ON SUNDAY WITH WILL!!,1,attacked
Oh k...i'm watching here:),0,original
Oh k...i'm One weird trick here:),1,attacked
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,original
Eh u remember how 2 Act now! his name... Yes i did. He v naughty make until i v wet.,1,attacked
Fine if thatÃ¥Ãs the way u feel. ThatÃ¥Ãs the way its gota b,0,original
Fine if thatÃ¥Ãs the Viral u feel. ThatÃ¥Ãs the way its gota b,1,attacked
Is that seriously how you spell his name?,0,original
Is that seriously how you Instant connection his name?,1,attacked
IÂÃÃ·m going to try for 2 months ha ha only joking,0,original
IÂÃÃ·m Detox to try for 2 months ha ha only joking,1,attacked
So Ã_ pay first lar... Then when is da stock comin...,0,original
So Ã_ pay first lar... Then when is Money back guarantee stock comin...,1,attacked
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,original
Aft i Find love now my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,1,attacked
Ffffffffff. Alright no way I can meet up with you sooner?,0,original
Ffffffffff. Alright no way I Best deal ever meet up with you sooner?,1,attacked
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,original
Just forced myself to eat a slice. I'm really not Viral tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,1,attacked
Lol your always so convincing.,0,original
Lol your always Miracle cure convincing.,1,attacked
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,original
Did Date tonight catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,1,attacked
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,original
"I'm back &amp; we're packing the You won't believe now, I'll let you know if there's room",1,attacked
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,original
Ahhh. Work. I vaguely Follow for more that! What does it feel like? Lol,1,attacked
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,original
"Wait that's still not all Click here to learn more clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",1,attacked
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,original
Yeah he Find your soulmate in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,1,attacked
K tell me anything about you.,0,original
K tell me Guaranteed income about you.,1,attacked
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,original
For fear of fainting with the of all that housework you just did? Quick Breaking news a cuppa,1,attacked
Yup... Ok i go home look at the timings then i msg Ã_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,original
Yup... Ok i go home look Click here to win the timings then i msg Ã_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,1,attacked
"Oops, I'll let you know when my roommate's done",0,original
"Oops, I'll let you know when my roommate's Comment below",1,attacked
I see the letter B on my car,0,original
I Once in a lifetime opportunity the letter B on my car,1,attacked
Anything lor... U decide...,0,original
Anything lor... U decide...,1,attacked
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,original
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do You won't believe tomo. Not that i'm trying to invite myself or anything!,1,attacked
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,original
Pls go ahead with watts. I just wanted to be sure. Do Breaking news a great weekend. Abiola,1,attacked
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,original
"Did I forget to tell Hookup ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",1,attacked
WHO ARE YOU SEEING?,0,original
WHO ARE YOU SEEING?,1,attacked
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,original
Great! I hope you like your man well endowed. I Click here to win &lt;#&gt; inches...,1,attacked
No calls..messages..missed calls,0,original
No calls..messages..missed This is crazy,1,attacked
Didn't you get hep b immunisation in nigeria.,0,original
Didn't you get hep b immunisation Comment below nigeria.,1,attacked
"Fair enough, anything going on?",0,original
"Fair enough, anything Must see on?",1,attacked
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,original
"Yeah hopefully, if tyler can't do it I could maybe ask Free shipping a bit",1,attacked
