text,label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0
"Go uuntli jurong point, Avvailable in bugis act fast n world lanthanum e buffet... Cine thеre got amore wat...",1
Ok lar... Joking wif u oni...,0
lar... wiiif must see uraicl,1
U dun say so early hor... U c already then say...,0
urracil so early hoor... uracil c already then say... limited,1
"Nah I don't think he goes to usf, he lives around here though",0
"Nah I don'tt hink he goes to usf, hhe lives must see about here",1
Even my brother is not like to speak with me. They treat me like aids patent.,0
Even brother is thе_like to speeak with me. They treat ethe_like aids patent. last chance,1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
arsenіc per your request (Oru Minnaminunginte Vetttam)' has been as your calⅼertune for all Press *9 billion toc opy your friennds,1
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0
I'm gonna b billion ehome soon and i don't want to talk about this stuff anymmore k? I've cried sufficiency today.,1
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
searching win now fօr the right to you ffor breather. promisei take help granted and will carry_through my promise. You been and a blessing all times.,1
I HAVE A DATE ON SUNDAY WITH WILL!!,0
iodnie HAVE claim your prize ON SSUNNDAY WITH WILL!!,1
Oh k...i'm watching here:),0
billion Ohiօ k....i'm watching here)::,1
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0
Eh rеmember urgent 2 name... eYYs did. helium v naughty maake until i v wet.,1
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0
Fine if thatåÕs last chance mannrεε u feel. ThatåÕs the manner its goota b,1
Is that seriously how you spell his name?,0
Is ţhat how his earn namme?,1
IÛ÷m going to try for 2 months ha ha only joking,0
going to atттempt 22 mօnhts gift ha ha only,1
So Ì_ pay first lar... Then when is da stock comin...,0
So Ì_ wage win now first lar... is da §tocck comin...,1
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
Aft finiѕѕh my lunch then go str down lor. flash sale Ard 3 smth lor. U finish ur lunch alraedy?,1
Ffffffffff. Alright no way I can meet up with you sooner?,0
Ffffffffff. Alright no way click now I can ssports_emeting with you soooner?,1
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0
Just forced myself to eat ɑ slice. I'm not tho. Thhiis sucks. Marki s getting worried. He I'm sick when I down pizza. click now,1
Lol your always so convincing.,0
limited rrsө convinncing.,1
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0
Did you the ? offer Are you frying an egg ? Ddi make a tea? you yoour mom's left over ? Do feeel Love,1
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0
"back &amp; we're ppacіkng_material the now, I'll lett you flash sale know if there's room",1
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0
Ahhh. Wоrk. Ⅰ vaguely winner thhat! itt feel Lol,1
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0
"Wait that's flash sale still not all that cleear, you sure about em being sarcastic or that why x doeʂn't want to ppopulatе us",1
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0
Yeah he Ⅰn and apoolgetic. n had fallen oսt she was like childd and he got caught in that. Till But we won't amazing deal go there! Not doiing badly cheers. You?,1
K tell me anything about you.,0
K etlł MMainne click about,1
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0
For fear of fainting winner with the of aall that hօusework you just did? Quickh aa cupper,1
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
unlock Yup... Ok iodine goo home look at the timing sthen msg Ì_ again... Xuhui llearn 2nd may but her lesson 8am,1
"Oops, I'll let you know when my roommate's done",0
"Oops, you knwo whhen my rөommmɑte's done claim your prize",1
I see the letter B on my car,0
I see thel etter bbacillus my car winner,1
Anything lor... U decide...,0
amazing deal lor... dddeсide...,1
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
Hellо! How's you and how did go? I was just must see texting to see if you'd too do anything tomo. Not that trynig to invite myself Oregon anything!,1
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0
Pls go ahead Ij wɑnted tо sure. bash a ggreat weekend. flash sale,1
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0
"Did I forget to tell exclusive deal you ? wᎪᎪnt you I need you, crave you. .. merely most of all ... I love you my sweet Arabian steed Mmmmmm ... Yummyy",1
WHO ARE YOU SEEING?,0
aaar flash sale YOս,1
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
GGreat! I like your adult_male wеll swipe up endowed. Ꭺm innches...,1
No calls..messages..missed calls,0
Nо winner caallӏ,1
Didn't you get hep b immunisation in nigeria.,0
Didn't you exclusive deal get hep b nch nigeria.,1
"Fair enough, anything going on?",0
"ccaarinval enoմgh, anything on? click now",1
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
"Yeah hopеfullly, if tyler can't do it I maybe sak around free entry bit",1
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
U don't know how I am. I even to go to the hospital. I kkept telling I'm not weak winner sucker. for weak suckerrѕ.,1
What you thinked about me. First time you saw me in class.,0
WWaht you thinked free astir First time you saw mme in class.,1
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0
"A act fast usually run &lt;#&gt; ,a haalf eighth smarter though and gets you aӏmost a whoole second for",1
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0
K fyi a ride early gift tommorrow morning but craaѕhing at uor place,1
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0
"Wow. I that you so embarassed your accomodations. thought it, since i doing the i could and you ever seemed so abouт \the cave\"". I'm andd dоn't have more offer to give. I'm sorry ii offered. I' msorry your room was so embarassing.""",1
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
bash you know wwhat offer Mallika did yessterday? Find now @ &lt;URł&gt;,1
"Sorry, I'll call later in meeting.",0
"Sorry, I'll calłł later inch click meeting.",1
Tell where you reached,0
eyөυυυ limited,1
Yes..gauti and sehwag out of odi series.,0
Yes..gauti act fast annd eshwwag out of odi seriеs.,1
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0
Your have to up a $1 claim your prize burger ffor on your way home. I ϲan't veen Pain be killing,1
Ha ha ha good joke. Girls are situation seekers.,0
hour_angle hour_angleg ood must see Girrls arе situuatiօn,1
Its a part of checking IQ,0
paarт must see of ɩntelliigence_quotient,1
"Sorry my roommates took forever, it ok if I come by now?",0
"gift rreggretful my forever, iτ if by now?",1
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0
Ok i double check wif da hair dresser already he cash said cut short. He sᎪdi ccut until i expression nice.,1
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0
"Today limited is \song dedicated day.\."" Which song volition u dedicate for me? Send this to ur valuablё frnds but first rply",1
I plane to give on this month end.,0
I Ꭺiirpllane to on act fast tihs,1
Wah lucky man... Then can save money... Hee...,0
don’t miss Wah luckyy ma.n... save Hee...,1
Finished class where are you.,0
whherε arr gift you.,1
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0
HHI BABE IM AT NOOW WANNA DO urgent SօMETHING? twenty,1
K..k:)where are you?how did you performed?,0
K..k:)wher eaar offer you?hhow did,1
U can call me now...,0
սracil giveaway ϲall noww....,1
I am waiting machan. Call me once you free.,0
ioodine urgent waiting machаn. Call me oncе free.,1
Thats cool. i am a gentleman and will treat you with dignity and respect.,0
Thats coo.l americium genтleman and will treat you with dignity and resppectt. flash sale,1
I like you peoples very much:) but am very shy pa.,0
I the_like you very much:)b utt win big very pa.,1
Does not operate after  &lt;#&gt;  or what,0
Doe§ not aftter& special offer lt;#&gt; or whaat,1
Its not the same here. Still looking for a job. How much do Ta's earn there.,0
