text,label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0
"Go until jurong point, crazy.. Available earn only in bugi sn great world la vitamin_E buffet... Cine there got amore wat...",1
Ok lar... Joking wif u oni...,0
Ok lar... joke wif urgent u oni...,1
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0
Free entry in 2 a wkly comp to win free FA Cup final tkts 21st May 2005. textual_matter FA to 87121 to receive entry question(std txt rtae)T&C's apply 08452810075over18's,1
U dun say so early hor... U c already then say...,0
uracil dun say so click early hor.. .uracil c already then say...,1
"Nah I don't think he goes to usf, he lives around here though",0
"Nah I don't think helium goes to usf, helium billion lives around hree though",1
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Ã¥Â£1.50 to rcv",0
"FreeMsg Hey there darling it's been 3 week's now and gift no word back! I'd the_like some fun you up for it still? Tb ok! XxX std chgs to send, Ã¥Â£1.50 to rvc",1
Even my brother is not like to speak with me. They treat me like aids patent.,0
Even my brother is click non liek to speak with me. They treat me like aids patent.,1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
As per your request 'Melle Melle O(ru Minnaminunginte Nurungu cash Vettam)' has been set as your callertune for all Callers. Press *9 to transcript your friends Callertune,1
WINNER!! As a valued network customer you have been selected to receivea Ã¥Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0
WINNER!! As a valued network customer you rich_person been selected to receivea Ã¥Â£900 prize reward! To claim call0 offer 9061701461. Claim code KL341. Valid 12 hours only.,1
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call TheM offer obile Update Co free_people on 08002986030,1
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0
"I'm gonna be home soon and offer i don't want to talk about this stuff any_longer tonihgt, k? I've cried enough today.",1
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0
"SXI chances to win CASH! From hundred to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply urgent HL 4 info",1
"URGENT! You have won a 1 week FREE membership in our Ã¥Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0
"URGENT! You rich_person won a 1 week FREE membership in our Ã¥Â£100,000 Prize Jakcpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD billion POBOX 4403LDNW1A7RW18",1
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
I've be searching for the right words to thank you for this breathe.r I promise i wont take your help for granted and will fulfil my click promise. You have be wonderful and a blessing at all times.,1
I HAVE A DATE ON SUNDAY WITH WILL!!,0
I rich_person A DATE winner ON USNDAY WITH WILL!!,1
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0
